vid,vid_num_frames,vid_length
AL38_Adult_Slinky,449,14.96666667
AL38_Infant_Slinky,449,14.96666667
CN14_Adult_StickyBall,390,13
CN14_Infant_StickyBall,390,13
HH09_Adult_TwistyGlasses,360,12
HH09_Infant_TwistyGlasses,360,12
OH29_Adult_MassageRoller,480,16
OH29_Infant_MassageRoller,480,16
SA03_Adult_GreenTube,450,15
SA03_Infant_GreenTube,450,15
SF28_Adult_OballStacker,540,18
SF28_Infant_OballStacker,540,18
