vid,block,pi_frame_number,est_flash
SF28_Adult_OballStacker,1,902,914
CN14_Infant_StickyBall,1,1399,1411
AL38_Infant_Slinky,1,1958,1970
SA03_Adult_GreenTube,1,2563,2575
HH09_Adult_TwistyGlasses,1,3031,3043
OH29_Infant_MassageRoller,1,3622,3634
CN14_Infant_StickyBall,2,4358,4370
SF28_Adult_OballStacker,2,5006,5018
SA03_Adult_GreenTube,2,5566,5578
AL38_Infant_Slinky,2,6121,6133
OH29_Infant_MassageRoller,2,6708,6720
HH09_Adult_TwistyGlasses,2,7178,7190
SF28_Adult_OballStacker,3,8075,8087
CN14_Infant_StickyBall,3,8570,8582
AL38_Infant_Slinky,3,9137,9149
SA03_Adult_GreenTube,3,9693,9705
HH09_Adult_TwistyGlasses,3,10166,10178
OH29_Infant_MassageRoller,3,10759,10771
CN14_Infant_StickyBall,4,11498,11510
SF28_Adult_OballStacker,4,12145,12157
SA03_Adult_GreenTube,4,12701,12713
AL38_Infant_Slinky,4,13261,13273
OH29_Infant_MassageRoller,4,13850,13862
HH09_Adult_TwistyGlasses,4,14328,14340
SF28_Adult_OballStacker,5,15216,15228
CN14_Infant_StickyBall,5,15718,15730
AL38_Infant_Slinky,5,16274,16286
SA03_Adult_GreenTube,5,16833,16845
HH09_Adult_TwistyGlasses,5,17297,17309
OH29_Infant_MassageRoller,5,17886,17898
CN14_Infant_StickyBall,6,18627,18639
SF28_Adult_OballStacker,6,19275,19287
SA03_Adult_GreenTube,6,19835,19847
AL38_Infant_Slinky,6,20406,20418
OH29_Infant_MassageRoller,6,20996,21008
HH09_Adult_TwistyGlasses,6,21467,21479
